2.111402198514792872e+02,1.359294321723677967e+01,1.203848743438720881e+01
1.997134004379833243e+02,1.250132122372513166e+01,8.940061569213867188e+00
3.453971658579210384e+02,1.181982739288711137e+01,1.958903694152832031e+01
1.615024913517744380e+02,1.490444652704875672e+01,1.476200199127197266e+01
1.219524432160550589e+02,1.613290392000638462e+01,1.188059234619140625e+01
7.572771889587650662e+01,1.269326893652469046e+01,2.168581008911132812e+00
1.288976414962714045e+02,1.437213725863797009e+01,1.289184379577636719e+01
1.544402150851895499e+02,1.562887502284292474e+01,1.425534152984619141e+01
2.004318515999999875e+02,1.070293666999999971e+01,8.364171982000000227e+00
1.990271565928880477e+02,1.186212161688442990e+01,2.059864234924316406e+01
1.935896114218080868e+02,1.276946083429334600e+01,8.937989234924316406e+00
1.426766420335722216e+02,1.561481664583689799e+01,1.372850704193115234e+01
2.268122626358422735e+02,1.358302432628503631e+01,1.454331398010254084e+01
7.531680308546219749e+01,1.257432115210329648e+01,2.059129714965820312e+00
1.708472736107267735e+02,1.479301639293440473e+01,5.383721828460693359e+00
1.180556924630223250e+02,1.683236521174182343e+01,1.211882400512695135e+01
1.465222764582904347e+02,1.633227311084395694e+01,1.368015956878661932e+01
1.705067510303114773e+02,1.817476915773384150e+01,1.071045875549316406e+01
1.937593327842076860e+02,1.353588190343638331e+01,9.022717475891111505e+00
1.196153204000000017e+02,1.697200202999999874e+01,1.197671223000000040e+01
